user_id,username,gender,age,user_type,education,registration_date,preferences,detailed_preferences,avg_rating,rating_variance,activity_level,email,phone,address
1,李丽丽,女,35,普通读者,硕士,2020-11-17,经管,"经管-市场营销,经管-管理,经管-投资",3.2224894887820765,0.9009777754582287,中,guiying89@example.org,15348839935,西藏自治区邯郸县高明马鞍山路n座 405814
2,文淑华,女,24,普通读者,初中,2024-01-26,"科学技术,文学","科学技术-地理,科学技术-数学,文学-现代文学",3.6322654255651825,0.7982304422656518,中,wye@example.net,18907007227,台湾省拉萨市和平陈街C座 870208
3,陈桂兰,女,12,学生,小学,2023-12-12,"科学技术,生活","科学技术-天文,生活-园艺,生活-家居,生活-健康",3.440274271358186,0.7723922307960697,中,yduan@example.org,15863188202,天津市玉华市永川刘街B座 459680
4,聂荣,女,26,学生,小学,2020-06-05,文学,"文学-散文,文学-诗歌,文学-古典文学",3.0404881624046403,0.5322478925425345,高,xiulan63@example.net,14793601565,湖南省晶县闵行银川街a座 545671
5,唐建军,男,7,学生,初中,2021-07-21,"生活,人文社科,文学","生活-育儿,生活-旅行,人文社科,文学",3.5320439480853922,0.8426714681318777,高,fumin@example.com,14520413527,上海市上海县高坪张路z座 369464
6,程秀云,女,20,研究人员,大专,2021-08-17,"生活,人文社科,科学技术","生活-家居,人文社科-经济,人文社科-社会学,人文社科-政治,科学技术",3.9768522784900906,0.7308792604691134,高,yang85@example.com,15037225893,香港特别行政区霞市南溪杨街P座 177378
7,冯兰英,女,8,学生,小学,2023-09-21,科学技术,科学技术,3.3636407483586597,0.5926921233173297,低,tao21@example.net,15310565561,河南省龙市华龙罗街E座 423724
8,高秀兰,女,14,学生,初中,2020-05-24,人文社科,"人文社科-政治,人文社科-法律,人文社科-经济",4.440343519527994,0.38638924665337127,中,namao@example.com,18841388906,山西省阜新县沙市陆路d座 797158
9,刘丽娟,女,17,普通读者,高中,2020-04-25,"艺术,科学技术,人文社科","艺术-绘画,艺术-电影,艺术-摄影,科学技术-物理,科学技术-医学,人文社科-心理学",4.276867886653084,0.4241259691023265,高,kpeng@example.net,15505042000,天津市静县翔安广州街s座 424374
10,胡凤兰,女,34,学生,本科,2020-03-13,"艺术,文学,科学技术","艺术-设计,艺术-音乐,艺术-绘画,文学-散文,科学技术-医学,科学技术-计算机",4.2464142701108205,0.4794501167378815,高,qinyan@example.org,15113821859,江西省拉萨市东城杨街h座 558946
11,刘桂英,女,27,学生,硕士,2022-09-12,生活,"生活-健康,生活-育儿",2.642804008691275,0.44367297445681864,高,yang49@example.com,18521301791,浙江省嘉禾市清城杨街c座 949753
12,方娟,女,37,普通读者,小学,2020-05-08,小说,"小说-悬疑推理,小说-科幻,小说-青春",4.688431929062859,0.2592809493062769,低,jfang@example.org,18928707848,河南省东市城北澳门街C座 957735
13,何军,男,63,学生,博士,2023-02-10,"生活,艺术","生活-育儿,生活-烹饪,艺术-电影,艺术-摄影,艺术-音乐",3.298993154361609,0.22252049446460845,低,ping15@example.net,18639988854,宁夏回族自治区广州县孝南李路J座 109357
14,谢霞,女,31,学生,大专,2021-10-14,"经管,生活","经管-管理,生活-旅行",3.437289326264966,0.42948470960285534,高,tao80@example.org,15945267578,山西省张家港县朝阳重庆街X座 663085
15,张淑华,女,16,学生,高中,2020-12-04,"经管,科学技术","经管-创业,科学技术-物理,科学技术-医学,科学技术-数学",2.284374112410223,0.3804418318393288,高,li79@example.net,18166096148,宁夏回族自治区昆明市浔阳段路s座 204754
16,钱晶,女,35,普通读者,初中,2020-12-25,"艺术,小说","艺术-设计,艺术-绘画,艺术-电影,小说",3.1951236648707257,0.941593901195485,中,fang07@example.org,18581145571,辽宁省欣市沈北新太原街c座 403072
17,吴玉梅,女,7,普通读者,小学,2020-09-15,"科学技术,生活,文学","科学技术-计算机,科学技术-医学,生活,文学-散文,文学-诗歌,文学-现代文学",2.0127063322014984,0.46459921291498835,中,juan63@example.net,13494686803,甘肃省长沙市清城刘路P座 223491
18,施峰,男,44,专业人士,大专,2022-09-25,"艺术,小说","艺术-摄影,小说",3.8018324605675016,0.5766868184957479,中,tmo@example.com,14520652424,湖北省杨县闵行刘街y座 461512
19,谢璐,女,17,研究人员,高中,2022-05-19,"文学,小说,生活","文学-诗歌,文学-古典文学,文学-现代文学,小说-悬疑推理,小说-武侠,小说-奇幻,生活",4.996029166682117,0.22070541020118248,很高,wei95@example.net,15981993925,香港特别行政区海燕县大兴荆门路A座 204547
20,李霞,女,26,学生,小学,2020-10-15,"人文社科,文学,艺术","人文社科,文学-外国文学,文学-现代文学,文学-散文,艺术",3.577220795586163,0.8482957705250304,高,qgong@example.org,15086136905,四川省娜市沈河太原街x座 663725
21,苏玉兰,女,39,专业人士,本科,2022-01-05,文学,文学,3.065295964306291,0.7870902677610445,低,juanxiao@example.org,18052545020,辽宁省桂芳市沙市潘街K座 553220
22,吉莹,女,30,学生,本科,2020-10-11,"科学技术,生活,文学","科学技术-天文,生活-旅行,生活-家居,文学-现代文学,文学-诗歌",3.917480066479291,0.7786192972185595,中,yong08@example.net,15264807473,湖南省淑华县翔安鲁街u座 960665
23,伍秀梅,女,34,普通读者,高中,2021-04-25,"生活,艺术","生活,艺术-音乐,艺术-绘画",3.171828306950498,0.6717741524095695,中,yong65@example.com,18696940516,宁夏回族自治区海门县友好邢路X座 247603
24,梁秀华,女,47,学生,高中,2021-03-05,"生活,艺术,小说","生活,艺术-电影,艺术-绘画,小说-悬疑推理,小说-恐怖",3.504398606444106,0.8507262676588023,低,gongyang@example.org,13264546786,重庆市海门市房山徐路L座 602981
25,徐丽华,女,25,教师,博士,2022-03-19,"生活,科学技术","生活-园艺,生活-烹饪,科学技术-化学,科学技术-计算机",3.536316428296544,0.7045537433704303,低,gaona@example.net,18763999001,重庆市丽丽市房山杨街m座 849664
26,张楠,男,25,学生,大专,2023-10-28,文学,"文学-戏剧,文学-外国文学",3.668506842869883,0.7291155460091925,低,jing53@example.com,13987703957,贵州省淑珍县清浦侯街t座 650397
27,柳晨,男,79,普通读者,本科,2022-02-04,艺术,艺术-绘画,3.857607221144077,0.7487780515484765,低,gangmao@example.com,14723982993,黑龙江省阜新市清浦赵街n座 889840
28,吕凤英,女,46,普通读者,大专,2020-08-24,"科学技术,人文社科","科学技术-化学,科学技术-计算机,科学技术-生物,人文社科-社会学,人文社科-政治",4.286318890816968,0.2913172519508195,中,dongjie@example.org,13351747643,青海省海口市秀英王路q座 496643
29,姜柳,女,62,学生,本科,2021-01-10,艺术,"艺术-摄影,艺术-绘画,艺术-电影",3.07708616275329,0.7891095801966361,中,junyang@example.com,18213845045,陕西省贵阳市长寿张街p座 210887
30,杨凯,男,22,学生,本科,2023-12-08,文学,"文学-诗歌,文学-散文",3.0686465758027635,0.6481315245355783,中,li32@example.net,13696527779,新疆维吾尔自治区合肥县白云刘路s座 279135
31,刘想,男,26,学生,大专,2024-01-17,"艺术,经管","艺术-摄影,艺术-设计,经管-商业",3.9115888718247063,0.6124933075867971,低,juanguo@example.net,18091485498,重庆市哈尔滨市合川合山街H座 276688
